loan_status,grade,sub_grade,verification_status,purpose,term,initial_list_status,emp_length,home_ownership,application_type,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line,installment,int_rate,fico_range_low,fico_range_high,last_pymnt_amnt,last_pymnt_d,total_rec_int,addr_state,zip_code
Current,D,D4,Verified,debt_consolidation,60 months,w,10+ years,MORTGAGE,JOINT,35502.00,99132.24,0.0397,0,1,19,0,5442.84,55.8201,36,1,0,Feb-2021,Feb-2013,826.31,22.0282,747,751,816.49,Oct-2021,3610.87,AZ,752xx
Current,C,C5,Verified,small_business,60 months,w,3 years,OWN,INDIVIDUAL,8390.00,48013.20,0.2679,1,5,11,0,12847.36,38.3854,14,5,0,Apr-2017,May-1996,206.97,26.6747,703,707,204.00,Feb-2018,849.82,NY,369xx
Current,B,B1,Verified,other,36 months,f,4 years,RENT,INDIVIDUAL,20795.00,100359.06,0.2017,1,0,13,2,2506.00,14.1028,28,3,0,Jun-2018,Jul-1988,609.36,6.1009,583,587,642.30,May-2019,103.70,AZ,880xx
Fully Paid,G,G2,Source Verified,major_purchase,36 months,w,10+ years,MORTGAGE,INDIVIDUAL,1029.00,98643.68,0.0914,0,1,14,0,2514.04,43.1891,29,1,0,Dec-2014,Jul-2001,33.74,20.0317,590,594,42.66,Aug-2015,111.86,FL,434xx
Current,A,A1,Source Verified,medical,36 months,w,10+ years,RENT,JOINT,36323.00,140404.08,0.1040,0,3,12,0,23998.68,60.9487,35,1,0,Dec-2014,Feb-1998,1110.49,11.1796,603,607,1158.77,Mar-2015,488.70,AZ,952xx
Fully Paid,F,F5,Not Verified,wedding,60 months,w,7 years,ANY,INDIVIDUAL,30294.00,162782.76,0.1600,1,1,8,0,6263.39,75.1263,14,0,0,Aug-2017,Mar-2013,704.00,21.9073,749,753,709.92,May-2018,1544.19,IL,309xx
Current,A,A5,Verified,medical,36 months,f,1 year,OWN,INDIVIDUAL,27005.00,92032.28,0.1716,1,2,3,0,52156.46,50.7238,12,7,0,Aug-2014,Dec-2012,830.33,11.8776,821,825,834.17,Jan-2016,930.49,FL,636xx
Current,E,E2,Verified,major_purchase,60 months,w,5 years,RENT,INDIVIDUAL,22529.00,137365.47,0.0993,1,2,2,0,9861.94,48.7117,28,2,0,Dec-2015,Feb-2000,508.24,19.6427,722,726,492.20,Mar-2017,1462.68,NC,896xx
Current,C,C4,Verified,renewable_energy,36 months,w,7 years,OWN,JOINT,38488.00,27019.21,0.2551,1,1,16,2,22381.29,52.5778,18,2,0,Jul-2014,Jan-1997,1218.28,15.5027,591,595,1185.42,Oct-2015,41.75,GA,707xx
Fully Paid,C,C2,Verified,car,36 months,w,6 years,ANY,INDIVIDUAL,23425.00,177975.74,0.3163,0,0,20,0,14056.12,12.6877,24,0,0,May-2022,Oct-1993,791.19,23.9906,782,786,799.20,Sep-2022,1620.32,WA,222xx
